index,Date,HomeTeamId,AwayTeamId,HTR,FTR
5802,05/05/2018,70.0,354.0,H,A
5803,05/05/2018,346.0,67.0,H,H
5804,05/05/2018,74.0,73.0,D,H
5805,06/05/2018,57.0,328.0,H,H
5806,06/05/2018,61.0,64.0,H,H
5807,06/05/2018,65.0,394.0,D,D
5808,08/05/2018,72.0,340.0,D,A
5809,09/05/2018,61.0,394.0,D,D
5810,09/05/2018,338.0,57.0,H,H
5811,09/05/2018,65.0,397.0,H,H
5812,09/05/2018,73.0,67.0,D,H
5813,10/05/2018,563.0,66.0,D,D
5814,13/05/2018,328.0,1044.0,H,A
5815,13/05/2018,354.0,74.0,D,H
5816,13/05/2018,394.0,57.0,A,A
5817,13/05/2018,64.0,397.0,H,H
5818,13/05/2018,66.0,346.0,H,H
5819,13/05/2018,67.0,61.0,H,H
5820,13/05/2018,340.0,65.0,D,A
5821,13/05/2018,72.0,70.0,A,A
5822,13/05/2018,73.0,338.0,A,H
5823,13/05/2018,563.0,62.0,H,H
5824,04/08/17,351.0,384.0,H,H
5825,04/08/17,71.0,342.0,D,D
5826,05/08/17,58.0,322.0,H,D
5827,05/08/17,387.0,357.0,H,H
5828,05/08/17,63.0,68.0,H,D
5829,05/08/17,349.0,332.0,D,H
5830,05/08/17,1081.0,345.0,D,H
5831,05/08/17,69.0,355.0,H,H
5832,05/08/17,356.0,402.0,H,H
5833,05/08/17,76.0,343.0,H,H
5834,12/08/17,357.0,349.0,H,A
5835,12/08/17,332.0,387.0,D,H
5836,12/08/17,402.0,351.0,A,A
5837,12/08/17,715.0,58.0,H,H
5838,12/08/17,342.0,76.0,A,A
5839,12/08/17,341.0,1081.0,D,D
5840,12/08/17,343.0,356.0,H,H
5841,12/08/17,355.0,63.0,D,D
5842,12/08/17,345.0,69.0,A,D
5843,13/08/17,68.0,71.0,A,A
5844,15/08/17,357.0,351.0,D,H
5845,15/08/17,402.0,387.0,A,D
5846,15/08/17,715.0,356.0,H,H
5847,15/08/17,342.0,1081.0,D,H
5848,15/08/17,322.0,76.0,A,A
5849,15/08/17,341.0,63.0,D,D
5850,15/08/17,384.0,349.0,A,A
5851,15/08/17,355.0,58.0,D,H
5852,16/08/17,68.0,69.0,D,H
5853,16/08/17,345.0,71.0,A,D
5854,19/08/17,58.0,68.0,H,H
5855,19/08/17,387.0,384.0,D,D
5856,19/08/17,63.0,345.0,D,A
5857,19/08/17,349.0,402.0,H,H
