id,day,month,year,weekday,hour,minute,matchday,leagueType,homeId,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,h2hMatches
325482,15,5,2022,7,12,30,34.0,0.0,1915,1920,0.0,1.0,0.0,1.0,2.0,0.0,0.0,-2.0,3.0,16.0,5.0
325483,15,5,2022,7,12,30,34.0,0.0,673,718,1.0,0.0,3.0,1.0,2.0,-2.0,2.0,-2.0,1.0,15.0,5.0
325484,15,5,2022,7,12,30,34.0,0.0,671,6806,0.0,1.0,1.0,3.0,1.0,-2.0,2.0,-1.0,2.0,12.0,5.0
325485,15,5,2022,7,12,30,34.0,0.0,677,1909,0.0,1.0,2.0,3.0,2.0,-3.0,3.0,-2.0,0.0,13.0,5.0
325486,15,5,2022,7,12,30,34.0,0.0,675,666,0.0,2.0,1.0,2.0,1.0,-2.0,2.0,-1.0,2.0,10.0,5.0
325487,15,5,2022,7,12,30,34.0,0.0,682,683,1.0,1.0,1.0,3.0,3.0,-2.0,2.0,-3.0,0.0,20.0,5.0
325488,11,5,2022,3,18,0,33.0,0.0,676,682,1.0,2.0,2.0,2.0,1.0,-1.0,1.0,-1.0,3.0,22.0,5.0
325489,11,5,2022,3,18,0,33.0,0.0,666,677,1.0,0.0,3.0,0.0,2.0,0.0,0.0,-2.0,3.0,14.0,5.0
325490,11,5,2022,3,18,0,33.0,0.0,6806,684,2.0,0.0,2.0,0.0,3.0,-1.0,1.0,-3.0,1.0,14.0,5.0
325491,11,5,2022,3,18,0,33.0,0.0,683,671,1.0,0.0,2.0,0.0,3.0,-2.0,2.0,-3.0,0.0,14.0,5.0
325492,11,5,2022,3,18,0,33.0,0.0,674,1915,2.0,0.0,3.0,2.0,4.0,-1.0,1.0,-4.0,0.0,22.0,5.0
325494,11,5,2022,3,18,0,33.0,0.0,1920,679,1.0,1.0,1.0,2.0,3.0,-2.0,2.0,-3.0,0.0,17.0,5.0
325495,11,5,2022,3,18,0,33.0,0.0,1909,672,1.0,0.0,1.0,1.0,2.0,0.0,0.0,-2.0,3.0,11.0,5.0
325496,11,5,2022,3,18,0,33.0,0.0,678,673,3.0,0.0,5.0,0.0,4.0,-1.0,1.0,-4.0,0.0,26.0,5.0
325497,7,5,2022,6,18,0,32.0,0.0,672,671,2.0,0.0,2.0,0.0,1.0,-3.0,3.0,-1.0,1.0,16.0,5.0
325499,6,5,2022,5,18,0,32.0,0.0,1909,683,0.0,0.0,1.0,1.0,3.0,-1.0,1.0,-3.0,1.0,17.0,5.0
325500,7,5,2022,6,18,0,32.0,0.0,684,676,0.0,1.0,1.0,1.0,1.0,-2.0,2.0,-1.0,2.0,21.0,5.0
325501,8,5,2022,7,10,15,32.0,0.0,1915,718,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,-1.0,3.0,16.0,5.0
325502,8,5,2022,7,14,45,32.0,0.0,675,674,0.0,2.0,2.0,2.0,1.0,-2.0,2.0,-1.0,2.0,19.0,5.0
325503,7,5,2022,6,16,45,32.0,0.0,666,1920,1.0,2.0,1.0,2.0,4.0,-1.0,1.0,-4.0,0.0,14.0,5.0
325504,7,5,2022,6,19,0,32.0,0.0,677,6806,0.0,1.0,1.0,2.0,0.0,-4.0,4.0,0.0,1.0,16.0,5.0
325505,8,5,2022,7,12,30,32.0,0.0,682,678,0.0,1.0,2.0,2.0,3.0,0.0,0.0,-3.0,2.0,12.0,5.0
325506,30,4,2022,6,19,0,31.0,0.0,6806,682,0.0,0.0,1.0,1.0,1.0,-2.0,2.0,-1.0,2.0,12.0,5.0
325507,1,5,2022,7,10,15,31.0,0.0,673,1909,2.0,1.0,3.0,3.0,4.0,0.0,0.0,-4.0,1.0,16.0,5.0
325508,1,5,2022,7,18,0,31.0,0.0,683,677,3.0,0.0,3.0,1.0,4.0,0.0,0.0,-4.0,1.0,18.0,5.0
325509,1,5,2022,7,12,30,31.0,0.0,674,672,3.0,1.0,4.0,2.0,4.0,-1.0,1.0,-4.0,0.0,17.0,5.0
325510,30,4,2022,6,18,0,31.0,0.0,671,666,1.0,1.0,1.0,1.0,0.0,-2.0,2.0,0.0,3.0,10.0,5.0
325511,1,5,2022,7,12,30,31.0,0.0,718,679,1.0,1.0,1.0,2.0,2.0,-2.0,2.0,-2.0,1.0,17.0,5.0
325512,1,5,2022,7,14,45,31.0,0.0,1920,675,0.0,2.0,1.0,3.0,0.0,-3.0,3.0,0.0,2.0,13.0,5.0
325513,29,4,2022,5,18,0,31.0,0.0,676,1915,0.0,0.0,1.0,0.0,2.0,-1.0,1.0,-2.0,2.0,9.0,5.0
325514,30,4,2022,6,16,45,31.0,0.0,678,684,1.0,0.0,3.0,0.0,4.0,0.0,0.0,-4.0,1.0,15.0,5.0
325515,24,4,2022,7,10,15,30.0,0.0,672,679,1.0,0.0,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,10.0,5.0
325516,23,4,2022,6,19,0,30.0,0.0,1909,674,1.0,1.0,1.0,2.0,1.0,-4.0,4.0,-1.0,0.0,26.0,5.0
325517,23,4,2022,6,18,0,30.0,0.0,683,684,0.0,1.0,0.0,2.0,1.0,-1.0,1.0,-1.0,3.0,9.0,5.0
325518,23,4,2022,6,14,30,30.0,0.0,1915,678,0.0,0.0,0.0,1.0,0.0,-3.0,3.0,0.0,2.0,11.0,5.0
325519,24,4,2022,7,14,45,30.0,0.0,1920,718,1.0,0.0,1.0,0.0,1.0,-3.0,3.0,-1.0,1.0,8.0,5.0
325520,24,4,2022,7,12,30,30.0,0.0,675,676,0.0,0.0,2.0,1.0,4.0,0.0,0.0,-4.0,1.0,21.0,5.0
325522,24,4,2022,7,12,30,30.0,0.0,677,671,0.0,1.0,0.0,1.0,0.0,-5.0,5.0,0.0,0.0,12.0,5.0
325523,23,4,2022,6,16,45,30.0,0.0,682,673,1.0,1.0,2.0,1.0,3.0,0.0,0.0,-3.0,2.0,14.0,5.0
325524,10,4,2022,7,12,30,29.0,0.0,679,1909,1.0,0.0,1.0,0.0,4.0,-1.0,1.0,-4.0,0.0,17.0,5.0
325525,10,4,2022,7,10,15,29.0,0.0,673,677,1.0,1.0,3.0,1.0,4.0,0.0,0.0,-4.0,1.0,14.0,5.0
325526,10,4,2022,7,12,30,29.0,0.0,674,683,1.0,0.0,2.0,0.0,5.0,0.0,0.0,-5.0,0.0,13.0,5.0
325527,10,4,2022,7,18,0,29.0,0.0,684,682,0.0,0.0,2.0,1.0,1.0,-2.0,2.0,-1.0,2.0,17.0,5.0
325528,9,4,2022,6,19,0,29.0,0.0,1915,666,0.0,0.0,0.0,2.0,1.0,-3.0,3.0,-1.0,1.0,14.0,5.0
325529,10,4,2022,7,14,45,29.0,0.0,671,675,1.0,3.0,1.0,4.0,0.0,-4.0,4.0,0.0,1.0,17.0,5.0
325530,8,4,2022,5,18,0,29.0,0.0,718,672,2.0,0.0,4.0,0.0,2.0,-3.0,3.0,-2.0,0.0,9.0,5.0
325531,9,4,2022,6,16,45,29.0,0.0,676,1920,1.0,0.0,1.0,1.0,2.0,-1.0,1.0,-2.0,2.0,16.0,5.0
