id,date,status,league_name,league_id,league_type,stage,home_team,home_team_id,away_team,away_team_id,venue,home_odds,draw_odds,away_odds,home/away,draw,both_score,>1.5,>2.5,>3.5,>4.5,elevation,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m
327052,2022-04-09 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Watford,346,Leeds United,341,Vicarage Road Stadium,2.78,3.52,2.47,0,0,1,0,0,0,0,72.0,9.8,0.0,72.0,17.2,303.0,46.0
327051,2022-04-09 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Southampton,340,Chelsea,61,St. Mary's Stadium,4.88,3.84,1.71,0,0,1,1,1,0,0,6.0,10.1,0.0,80.0,14.1,289.0,47.0
327043,2022-04-09 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Brighton Hove,397,Emirates Stadium,1.58,4.06,5.85,0,0,1,0,0,0,0,30.0,10.4,0.0,62.0,17.7,299.0,42.0
327044,2022-04-09 16:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Tottenham,73,Villa Park,3.0,3.46,2.35,0,0,1,1,0,0,0,100.0,7.9,0.0,98.0,11.8,310.0,57.0
327050,2022-04-10 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Norwich,68,Burnley,328,Carrow Road,2.74,3.26,2.65,1,0,1,0,0,0,0,3.0,10.8,0.0,100.0,12.9,216.0,50.0
327047,2022-04-10 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leicester City,338,Crystal Palace,354,King Power Stadium,2.12,3.48,3.3,1,0,1,0,0,0,0,54.0,11.4,0.0,89.0,11.7,198.0,49.0
327045,2022-04-10 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,West Ham,563,Brentford Community Stadium,3.26,3.41,2.18,1,0,1,0,0,0,0,10.0,11.9,0.0,48.0,16.3,188.0,50.0
327048,2022-04-10 15:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Liverpool,64,Etihad Stadium,1.95,3.5,3.75,0,1,1,1,0,0,0,0.0,4.2,0.0,91.0,16.4,57.0,71.0
327039,2022-04-16 11:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Brighton Hove,397,Tottenham Hotspur Stadium,1.62,3.92,5.38,0,0,1,0,0,0,0,13.0,16.8,0.0,0.0,12.7,97.0,56.0
327040,2022-04-16 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Watford,346,Brentford,402,Vicarage Road Stadium,2.67,3.22,2.68,0,0,1,0,0,0,0,72.0,16.7,0.0,10.0,11.7,99.0,54.0
327038,2022-04-16 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Southampton,340,Arsenal,57,St. Mary's Stadium,3.58,3.55,2.02,1,0,1,0,0,0,0,6.0,15.9,0.0,8.0,11.7,146.0,65.0
327036,2022-04-16 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Norwich,68,Old Trafford,1.22,6.38,12.6,1,0,1,1,0,0,0,32.0,19.3,0.0,70.0,18.5,193.0,53.0
327037,2022-04-17 13:15:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Leicester City,338,St James' Park,2.38,3.31,2.99,1,0,1,0,0,0,0,80.0,16.1,0.0,32.0,17.1,145.0,61.0
327041,2022-04-17 13:15:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Burnley,328,London Stadium,1.59,3.97,5.67,0,1,1,0,0,0,0,10.0,17.3,0.0,30.0,16.9,146.0,34.0
327069,2022-04-19 19:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Man United,66,Anfield,1.45,4.76,6.39,1,0,1,1,0,0,0,59.0,6.5,0.0,18.0,7.0,348.0,86.0
327067,2022-04-20 18:45:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Crystal Palace,354,St James' Park,2.49,3.25,2.92,1,0,1,0,0,0,0,80.0,5.8,0.0,14.0,6.1,93.0,94.0
327120,2022-04-20 18:45:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Arsenal,57,Stamford Bridge,1.9,3.52,4.16,0,0,1,1,1,0,0,9.0,10.3,0.0,30.0,13.6,68.0,60.0
327191,2022-04-20 18:45:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Leicester City,338,Goodison Park,2.66,3.31,2.59,0,1,1,0,0,0,0,41.0,10.9,0.0,6.0,17.5,82.0,60.0
327068,2022-04-20 19:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Brighton Hove,397,Etihad Stadium,1.19,7.17,14.67,1,0,1,0,0,0,0,0.0,2.7,0.0,100.0,23.9,276.0,79.0
327071,2022-04-21 18:45:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Southampton,340,Turf Moor,2.82,3.33,2.52,1,0,1,0,0,0,0,121.0,9.4,0.0,0.0,24.3,69.0,68.0
