day,month,year,weekday,hour,minute,matchday,homeId,awayId,scoreHomeHt,scoreAwayHt,target
24.0,9.0,2023.0,7.0,13.0,0.0,6.0,397.0,1044.0,1.0,1.0,1.0
6.0,11.0,2021.0,6.0,15.0,0.0,17.0,1076.0,387.0,0.0,1.0,1.0
3.0,2.0,2024.0,6.0,15.0,0.0,30.0,74.0,332.0,0.0,0.0,1.0
7.0,5.0,2022.0,6.0,14.0,0.0,36.0,402.0,340.0,2.0,0.0,1.0
27.0,8.0,2022.0,6.0,14.0,0.0,4.0,61.0,338.0,0.0,0.0,1.0
7.0,8.0,2021.0,6.0,14.0,0.0,1.0,70.0,355.0,2.0,1.0,1.0
27.0,8.0,2023.0,7.0,15.0,30.0,3.0,67.0,64.0,1.0,0.0,0.0
28.0,10.0,2023.0,6.0,14.0,0.0,14.0,343.0,70.0,0.0,2.0,0.0
23.0,12.0,2023.0,6.0,12.0,30.0,23.0,341.0,349.0,3.0,0.0,1.0
27.0,4.0,2024.0,6.0,16.0,30.0,35.0,62.0,402.0,0.0,0.0,1.0
26.0,8.0,2023.0,6.0,16.0,30.0,3.0,397.0,563.0,0.0,1.0,0.0
14.0,8.0,2021.0,6.0,14.0,0.0,2.0,351.0,1044.0,0.0,1.0,0.0
30.0,4.0,2022.0,6.0,14.0,0.0,45.0,1076.0,394.0,0.0,1.0,0.0
9.0,10.0,2022.0,7.0,11.0,0.0,14.0,394.0,322.0,1.0,0.0,1.0
23.0,9.0,2023.0,6.0,14.0,0.0,8.0,1138.0,68.0,4.0,0.0,1.0
11.0,9.0,2021.0,6.0,14.0,0.0,4.0,57.0,68.0,0.0,0.0,1.0
9.0,2.0,2022.0,3.0,19.0,45.0,31.0,59.0,351.0,0.0,1.0,0.0
11.0,2.0,2023.0,6.0,15.0,0.0,31.0,387.0,68.0,1.0,0.0,1.0
19.0,4.0,2023.0,3.0,18.0,45.0,43.0,72.0,1081.0,3.0,0.0,1.0
30.0,10.0,2021.0,6.0,14.0,0.0,10.0,67.0,61.0,0.0,0.0,0.0
11.0,11.0,2023.0,6.0,15.0,0.0,16.0,340.0,74.0,1.0,0.0,1.0
20.0,8.0,2023.0,7.0,13.0,0.0,2.0,58.0,62.0,2.0,0.0,1.0
18.0,2.0,2023.0,6.0,15.0,0.0,33.0,343.0,69.0,0.0,0.0,1.0
28.0,5.0,2023.0,7.0,15.0,30.0,38.0,402.0,65.0,0.0,0.0,1.0
19.0,8.0,2023.0,6.0,14.0,0.0,3.0,71.0,385.0,1.0,1.0,1.0
24.0,1.0,2024.0,3.0,19.0,45.0,29.0,341.0,68.0,1.0,0.0,1.0
18.0,4.0,2023.0,2.0,18.0,45.0,43.0,70.0,75.0,0.0,0.0,0.0
15.0,9.0,2021.0,3.0,18.0,45.0,7.0,332.0,63.0,0.0,2.0,0.0
15.0,1.0,2022.0,6.0,15.0,0.0,27.0,384.0,351.0,0.0,0.0,0.0
21.0,8.0,2021.0,6.0,14.0,0.0,4.0,1081.0,1077.0,1.0,0.0,1.0
11.0,11.0,2023.0,6.0,15.0,0.0,16.0,345.0,384.0,0.0,2.0,0.0
6.0,4.0,2024.0,6.0,14.0,0.0,41.0,338.0,332.0,1.0,1.0,1.0
26.0,12.0,2023.0,2.0,15.0,0.0,24.0,322.0,71.0,0.0,0.0,0.0
29.0,11.0,2023.0,3.0,19.0,45.0,18.0,341.0,72.0,2.0,1.0,1.0
28.0,8.0,2021.0,6.0,14.0,0.0,3.0,68.0,338.0,1.0,1.0,0.0
6.0,11.0,2021.0,6.0,15.0,0.0,11.0,402.0,68.0,0.0,2.0,0.0
4.0,5.0,2023.0,4.0,18.0,45.0,44.0,394.0,356.0,0.0,0.0,1.0
1.0,10.0,2022.0,6.0,14.0,0.0,12.0,385.0,75.0,0.0,1.0,0.0
30.0,4.0,2023.0,7.0,11.0,0.0,45.0,715.0,394.0,0.0,0.0,0.0
