HomeTeam,AwayTeam,AvgH,AvgD,AvgA,DayOfYear,DayOfWeek,HourOfDay,MinuteOfHour,target
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.3,5.29,9.95,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,2.87,3.31,2.49,42.0,0.0,12.0,30.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.78,3.8,4.65,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
