day,month,year,weekday,hour,minute,matchday,leagueId,homeId,awayId,agHomeWins,agDraws,agAwayWins,avgGoals,target
11.0,5.0,2024.0,6.0,14.0,0.0,37.0,2021.0,73.0,328.0,4.0,0.0,1.0,2.6,1.0
11.0,5.0,2024.0,6.0,14.0,0.0,37.0,2021.0,62.0,356.0,3.0,1.0,1.0,1.6,1.0
11.0,5.0,2024.0,6.0,16.0,0.0,36.0,2019.0,113.0,103.0,2.0,2.0,1.0,2.6,0.0
11.0,5.0,2024.0,6.0,16.0,30.0,37.0,2021.0,351.0,61.0,1.0,2.0,2.0,2.8,0.0
11.0,5.0,2024.0,6.0,16.0,30.0,33.0,2002.0,15.0,4.0,1.0,2.0,2.0,2.6,1.0
11.0,5.0,2024.0,6.0,18.0,45.0,36.0,2019.0,98.0,104.0,5.0,0.0,0.0,4.2,1.0
22.0,4.0,2024.0,1.0,16.0,30.0,33.0,2019.0,100.0,103.0,1.0,2.0,2.0,1.4,0.0
22.0,4.0,2024.0,1.0,18.0,45.0,33.0,2019.0,98.0,108.0,0.0,0.0,5.0,2.6,0.0
22.0,4.0,2024.0,1.0,19.0,0.0,44.0,2016.0,343.0,341.0,0.0,1.0,4.0,3.8,0.0
23.0,4.0,2024.0,2.0,19.0,0.0,38.0,2016.0,338.0,340.0,3.0,0.0,2.0,3.8,1.0
23.0,4.0,2024.0,2.0,19.0,0.0,29.0,2021.0,57.0,61.0,4.0,1.0,0.0,4.0,1.0
23.0,4.0,2024.0,2.0,22.0,0.0,3.0,2152.0,2051.0,1767.0,0.0,0.0,1.0,1.0,0.0
24.0,4.0,2024.0,3.0,0.0,0.0,3.0,2152.0,1766.0,5184.0,1.0,0.0,1.0,3.5,1.0
24.0,4.0,2024.0,3.0,0.0,0.0,3.0,2152.0,7118.0,2071.0,1.0,0.0,1.0,3.0,1.0
24.0,4.0,2024.0,3.0,16.0,45.0,31.0,2003.0,666.0,1911.0,4.0,0.0,0.0,3.5,1.0
24.0,4.0,2024.0,3.0,17.0,0.0,29.0,2015.0,525.0,524.0,1.0,1.0,3.0,3.6,0.0
24.0,4.0,2024.0,3.0,18.0,45.0,29.0,2021.0,76.0,1044.0,2.0,1.0,2.0,1.2,0.0
24.0,4.0,2024.0,3.0,18.0,45.0,38.0,2016.0,1076.0,322.0,0.0,2.0,3.0,3.2,0.0
24.0,4.0,2024.0,3.0,19.0,0.0,29.0,2021.0,62.0,64.0,1.0,1.0,3.0,1.6,1.0
24.0,4.0,2024.0,3.0,19.0,0.0,29.0,2021.0,354.0,67.0,1.0,2.0,2.0,2.2,1.0
24.0,4.0,2024.0,3.0,19.0,0.0,29.0,2021.0,66.0,356.0,4.0,0.0,1.0,4.0,1.0
24.0,4.0,2024.0,3.0,22.0,0.0,3.0,2152.0,7055.0,5171.0,2.0,0.0,0.0,2.0,1.0
24.0,4.0,2024.0,3.0,22.0,0.0,3.0,2152.0,1770.0,4268.0,2.0,0.0,0.0,2.5,1.0
25.0,4.0,2024.0,4.0,0.0,30.0,3.0,2152.0,4261.0,1783.0,1.0,0.0,1.0,3.5,1.0
25.0,4.0,2024.0,4.0,0.0,30.0,3.0,2152.0,6989.0,1769.0,0.0,0.0,4.0,3.5,0.0
25.0,4.0,2024.0,4.0,0.0,30.0,3.0,2152.0,9379.0,6667.0,0.0,0.0,2.0,2.5,0.0
25.0,4.0,2024.0,4.0,16.0,55.0,31.0,2003.0,673.0,674.0,0.0,1.0,4.0,4.2,0.0
25.0,4.0,2024.0,4.0,18.0,0.0,32.0,2019.0,115.0,100.0,1.0,1.0,3.0,3.2,0.0
25.0,4.0,2024.0,4.0,19.0,0.0,31.0,2003.0,718.0,675.0,0.0,0.0,5.0,3.8,0.0
25.0,4.0,2024.0,4.0,19.0,0.0,29.0,2021.0,397.0,65.0,0.0,1.0,4.0,3.2,0.0
27.0,4.0,2024.0,6.0,13.0,30.0,31.0,2002.0,721.0,4.0,4.0,0.0,1.0,3.6,1.0
27.0,4.0,2024.0,6.0,13.0,30.0,31.0,2002.0,16.0,12.0,3.0,0.0,2.0,2.2,0.0
27.0,4.0,2024.0,6.0,13.0,30.0,31.0,2002.0,5.0,19.0,3.0,1.0,1.0,3.8,1.0
27.0,4.0,2024.0,6.0,13.0,30.0,31.0,2002.0,17.0,11.0,3.0,0.0,2.0,3.4,0.0
27.0,4.0,2024.0,6.0,14.0,0.0,35.0,2021.0,67.0,356.0,4.0,0.0,1.0,3.8,1.0
27.0,4.0,2024.0,6.0,14.0,0.0,45.0,2016.0,387.0,385.0,4.0,0.0,1.0,2.8,1.0
27.0,4.0,2024.0,6.0,14.0,0.0,45.0,2016.0,346.0,71.0,2.0,2.0,1.0,2.4,1.0
27.0,4.0,2024.0,6.0,14.0,0.0,45.0,2016.0,384.0,1138.0,5.0,0.0,0.0,2.0,1.0
27.0,4.0,2024.0,6.0,14.0,0.0,45.0,2016.0,345.0,74.0,1.0,1.0,3.0,2.4,1.0
27.0,4.0,2024.0,6.0,14.0,0.0,35.0,2021.0,76.0,389.0,1.0,1.0,3.0,2.6,1.0
