HomeTeam,AwayTeam,AvgH,AvgD,AvgA,DayOfWeek,DayOfYear,HourOfDay,MinuteOfHour,target
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,1.96,3.53,3.68,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.28,3.35,3.07,4,67,15,00,1
7,9,2.56,3.19,2.86,4,67,15,00,1
7,9,2.56,3.19,2.86,4,67,15,00,1
7,9,2.56,3.19,2.86,4,67,15,00,1
7,9,2.56,3.19,2.86,4,67,15,00,1
7,9,2.56,3.19,2.86,4,67,15,00,1
7,9,2.56,3.19,2.86,4,67,15,00,1
